"","creb_family_tfs","creb_binding_cofactors","creb_activity_markers","ap1_family_tfs","ATF1","ATF2","ATF4","ATF6B","AXL","CREB1","CREB3","CREB3L1","CREB3L2","CREB3L3","CREB3L4","CREB5","CREBBP","CREBL2","CREBRF","CREBZF","CREM","CRTC1","CRTC2","CRTC3","EID1","EP300","FOS","FOSB","FOSL1","FOSL2","JUN","JUNB","JUND","MITF","MKI67","NGFR","NR4A1","NR4A2","NR4A3","PCK1","PPARGC1A","RPS6KA3","RPS6KA4","RPS6KA5","RPS6KB1","SOX10"
"ACH000008",-0.0301620037518156,-0.379400190363054,-0.397840240856576,-0.347972531243714,0.668579832277493,0.329302585788218,0.0262094151305505,0.183576360962173,0.661555284392109,-0.446059748548692,0.820716841669838,-0.152564130351754,0.682411718919557,0.441806073838594,-0.261692673465943,-0.441593589725589,-1.32038995480998,-0.330158650538906,-1.31428482551388,-0.274504754898076,-0.384174511820818,-0.895361016437365,0.648536151312297,-1.39850786857678,-0.373516471408481,0.279830483685071,-1.17891668222743,-0.310124960881825,0.0772346911993287,-0.148554271240242,-0.205081265155622,0.488854251563093,-1.1592194819633,-0.620667531116137,0.529086984373371,1.59175490367145,0.02622911531682,-0.316171739065761,-0.672528776412218,-0.628889563265145,0.403607343693862,1.62080382762707,-0.564379255128312,-1.40012372846125,-0.827223060043257,0.19783196299316
"ACH000014",0.31478865797524,-0.282414395001043,0.328635567652221,-0.250660593489861,0.744714313916225,0.790703789869436,-0.647578989347068,1.05943070384286,0.866752528202778,-0.777597775532175,1.076381902753,0.53954343626217,0.65868893632954,2.21109351614564,0.501664294205283,-0.776338293989414,-0.486540967710213,-0.352108619833676,0.420641471159684,-0.341720137676399,-0.385688678476512,-0.271285377584057,0.961170367831028,-1.22819776634133,-0.594165766711138,-0.424753508069349,-1.09405976694012,-0.597048656163523,-0.661018040451903,0.0806918427562587,-0.30496944878706,0.385725345342827,0.436054569814492,-0.384639568626477,-0.423208597783006,2.0637388609997,0.934809408661847,1.00581212557198,-0.742274331976964,0.116195068352019,0.0668722535777565,0.105719376394022,-0.71369868406984,-1.52326932006819,-0.946622932579531,0.411850829244842
"ACH000219",0.0402892166701338,0.0319206209357701,0.0811633034419955,-0.233665664579593,1.50414095933676,-1.79585381672871,-0.0647724897944622,-1.67685543148775,0.883224512064823,-0.63778931453526,0.168909123619366,-0.464662984950376,-1.44680368166224,4.0484744094968,1.51409059705853,-1.03148177489353,0.546746915021726,-0.459108480172554,0.328200375344382,0.601086375144898,0.0167643842761532,1.08646879263556,1.50567897971977,-1.08508312349417,0.947958933034415,-1.37945733975978,-0.616958288582726,0.0219524623881973,0.356211541591499,-0.829761731008734,-0.68696137360318,0.186671878327887,-0.0668141411700953,-1.15773883882767,1.21329327555553,0.0975474958158752,0.87735473367961,0.195152253243809,-0.882594148383393,0.134740375227956,-1.39886881060713,0.880245430279832,-0.77486630972483,-0.51306317597844,0.817656264863721,0.29877497897856
"ACH000304",0.162882262223356,-0.16337095429473,0.106289577928777,0.55500565234472,-2.04053937614495,1.09807566138691,-0.950245751110408,0.732890399641428,0.583968160234359,2.56506953636375,0.676294339013199,-0.530560135788037,1.4453437174424,0.631382598638705,-0.199102189773912,-0.660762733736696,0.666093165050282,0.188586667543091,0.502521788473915,0.706498053937233,-1.72221864253629,-0.581460646425676,-0.681792639612943,-0.52495336432276,1.48162130507811,-0.177677968397114,0.941305820557683,0.90002051551164,1.22630314698204,-0.71680226196412,1.26427269731922,0.275809464104924,-0.00586981609834456,-1.42977198403943,-0.945676452845277,0.722864118601639,0.318750357323673,1.76075351305607,-1.02545599539949,-0.628889563265145,-1.32542653143301,0.437479172516713,-1.38684288708888,-0.818818189861623,1.00041628286232,0.403773921719542
"ACH000322",-0.240595647614687,0.307390697657371,-0.234583345779788,0.351075424240056,0.918151955115222,-0.494080558738443,0.472393356253992,-0.0104116743347972,1.00958692775347,-0.0215106539162849,-0.641600184928038,-0.339001621195856,0.147554700383407,-0.662719538798065,-0.210362254329947,-0.110710420958999,2.28550152067599,-0.605559547305828,-0.392540808775839,-0.79817394923511,-0.860363513455712,-0.428836441577789,0.453793118044877,-0.523049189118281,0.951680110136597,0.111398714901331,0.227554781230784,0.159820838604781,0.866947051584179,0.0563333447520356,0.537890274728275,0.131721595459992,0.477260083320348,-0.0228521999647266,0.14520455095079,1.2308438853927,0.0225068557432781,0.213534005133667,-0.545484680730952,-0.628889563265145,-0.69875294946113,0.357381055191375,0.291260135551863,0.194441933080554,0.605885528307278,0.197476785730023
"ACH000348",0.577307974577263,-0.0533035761843883,-1.3140766956285,0.829443452838815,0.591749124622258,1.0379557877563,0.456811490442502,0.309411414533092,1.1732405221278,2.20012278802729,0.114233983759916,3.23560558228812,-0.596917291483747,1.75478479595326,0.714829440806239,-0.855042016302195,-0.485397865042969,-1.75504051918569,1.00030272924024,1.04106467951675,-0.590252371315393,0.821921928963663,-0.457872676110961,-0.0619297905798544,1.56780921384479,-0.638184302061157,-0.461320511827473,-0.222804289580116,0.522089226289086,1.87081000483436,1.10694477690872,1.40109395886948,1.58929100437765,-2.17939386291416,-0.875288005159536,-1.06222904145213,-2.19069149757112,-1.35963198512006,-1.07709373655767,-0.628889563265145,-1.11947154230423,-1.02281780227615,0.0280448781170398,-1.94882322504873,-0.868096290935226,-2.75019930514655
"ACH000401",-0.00475504233509194,0.520924765095105,-0.108348679723985,-0.402015726402414,0.0552629184792221,-0.288000826974122,0.88322414243995,0.987514546060992,0.448086441911782,-0.558306946403879,0.114173673307454,-0.433037069715355,0.037649912411975,-0.269323588709844,1.57466510830492,0.347634003333924,-0.4316648241385,-0.537719644186335,-0.576958029490018,-0.542184246696312,-0.865919587188951,0.685679981672253,2.05257243163865,0.572649966916837,1.46117444960527,-0.957367391105642,-0.547613015738982,-0.500565506289978,0.302889461867022,-0.989858168261683,0.259268509202065,-0.769291426074443,-0.568939939520898,0.420104469340995,0.998357340308151,1.19181864422466,0.0986417180442074,0.650920455980742,-0.554067329655743,-0.628889563265145,0.26342874107687,-0.403582827875885,0.220982382057805,-1.4983420888388,-1.39687809561977,0.538543782962356
"ACH000404",-0.150094730716881,0.250437620576339,-0.115282810806301,-0.641758583296522,1.05855930430545,-0.188836609085585,-0.0500157944139065,-0.195016984323055,-1.36063845143959,-1.30717112325314,0.188229032794498,-0.508918206274656,-0.212190129824599,-0.662719538798065,-0.876855658247585,0.467788107225054,-0.482917524137805,-0.40603052966485,-0.546124029836197,0.245149465505529,0.7427317331379,0.858140111389314,0.684681067151185,0.125548152690887,-0.238542394086616,-0.298195851664999,-0.568733320832244,-0.835900342376803,-0.393513712348882,-0.050819895656046,-1.16683825543569,-0.511506106872337,-0.964998449553655,0.656165831787572,-0.593173067347294,-0.907361249038386,0.220991898113358,-1.15299810202521,0.77656038774037,-0.305685427053722,1.10434978269241,-0.793679544558247,0.639920857298411,-0.0273078320702294,-0.701999586333203,0.125688203819306
"ACH000423",-0.160712010818372,0.133674928437271,0.363211343851305,-0.492015304909212,0.300711899054807,-0.569158609462431,-0.361989361702289,-2.05343919777625,-1.1354318990774,0.0239864462462991,-0.835296098470012,-0.681392430148281,-0.411860934845096,-0.276878201181238,-1.42876706731569,0.892565974464816,-0.216858899553093,-0.084111991556085,1.18990199848143,0.629476189291213,1.25557122264322,-0.35466755245878,0.185693773955768,1.84515391420744,-0.345764636910032,-1.15494721443399,-0.714778934605484,-1.25859681721803,-0.548853415473455,-0.1848415416873,-0.0911287097974334,-0.950673651387871,0.304765935805086,1.00807445095231,-0.538915441010359,-0.384558451319776,0.160449787232978,0.563149311279548,1.35813584015784,-0.628889563265145,0.977115114253586,-2.79891633631192,0.588436961668115,-0.0299829731931303,-0.220650815524719,0.40819586903911
"ACH000425",-0.124962530458045,-0.69354582656888,0.63210136744797,0.329563854657059,0.167445779685137,0.731710928812068,-0.0288955373644905,-0.96666906829345,-0.38031799574588,-1.03672757372568,-0.158002668479853,-0.444942156786867,-0.473589526055972,0.551236424052512,0.250168418367989,1.75151284995557,-2.30369430181743,-0.710676815047685,-0.75366977891469,-0.431868606582808,-0.321470626492458,-0.762715635550223,-0.0203088012965458,-0.714358149871216,0.624467111101061,-1.32443451665112,1.26610000812165,1.39783101584924,-0.419984747536238,-0.809372023359929,0.377416903599748,0.4231311723656,0.0718246535593388,-0.0287882035669844,-0.92148958067095,-1.07144185926616,0.545623282960465,1.46551158879486,-0.543834751293775,1.06110534933033,-0.353776491896687,1.40177934834101,-0.19074204709033,-1.0534497990093,-0.375677682479088,0.338872654597576
