"","sample","undifferentiated_signature","undifferentiated_neural_crest_like_signature","neural_crest_like_signature","neural_crest_like_transitory_signature","transitory_signature","transitory-melanocytic_signature","melanocytic_signature"
"ACH000008","ACH000008",0.0117758898765358,0.457805211775267,0.864630675961295,0.202825594232543,-0.184417423539356,-0.390373412921379,-0.358985805773268
"ACH000014","ACH000014",0.273486053492686,0.573038742920089,0.928596771007814,0.547483640430362,0.0677387405984758,-0.458352642460603,-0.479515732140111
"ACH000219","ACH000219",0.250771615411854,0.539964608118478,0.552669482652026,0.347906445544289,-0.498856574660249,-1.03621111759665,-0.869975337671361
"ACH000304","ACH000304",-0.27265798529848,0.930600478729061,1.27925269520436,1.31495554266926,0.212004672820781,-0.770465923012595,-0.850698170068807
"ACH000322","ACH000322",-0.191569661891261,0.391734242923611,0.550090795897874,0.279492579198483,0.0362139700593896,-0.267671527433658,-0.512454625801669
"ACH000348","ACH000348",1.04797934577551,1.14402966820196,0.0767015661339575,-0.539886163985987,-0.913848474469764,-1.0922542218288,-0.616877702298299
"ACH000401","ACH000401",-0.340374226743898,-0.0616459084387688,0.344842240924993,0.663540468109556,0.397038881051443,0.00583458836410425,-0.465896402790309
"ACH000404","ACH000404",-0.140000573090543,-0.56848574366666,-0.460813191657305,-0.438248132492862,-0.121151862623203,0.583273058633917,0.715344034582856
"ACH000423","ACH000423",-0.197718155466432,-0.683881182375267,-0.541951119459816,-0.622768387118005,-0.492035219654045,0.505577872815098,0.587338803875065
"ACH000425","ACH000425",-0.265070692799989,-0.189624228183989,-0.00123783911869096,0.432802864403499,0.740584322631831,0.0686594156165991,-0.462002996078843
"ACH000441","ACH000441",-0.31492704147467,-0.464538145046755,-0.714282279547526,-0.321757191577406,-0.126267961129282,0.524518716038445,0.348157210743164
"ACH000465","ACH000465",-0.284834933643923,-0.733607799567394,-0.71719374013123,-0.43409983311117,0.202705913193013,0.832073741166162,0.773568309473405
"ACH000477","ACH000477",-0.393130651745783,-0.433616263279113,0.0836043340928842,0.221262348379593,0.428273947182219,0.898855093744659,1.01332679105191
"ACH000550","ACH000550",1.37981788867432,1.08320816706661,-0.276133506737162,-0.708221569913045,-0.906554940312356,-0.973899186452657,-0.522970770176626
"ACH000572","ACH000572",-0.338525743093497,-0.730582649949193,-0.53266314813737,-0.911925025415929,-0.654634604648447,0.34315633513859,0.607594801031838
"ACH000579","ACH000579",-0.412654827742336,-0.722631135127287,-0.68688825356826,-0.560400142318505,0.17100190098821,0.85955119354566,1.05761279809748
"ACH000580","ACH000580",-0.19510763415508,-0.0147593177387157,0.00468835340634164,0.240308767074273,0.488962108941203,-0.045919830218063,-0.145306312723446
"ACH000614","ACH000614",-0.41650254218812,-0.472057980614982,-0.345157396362063,0.013179901122407,0.16058111629327,0.741292634590156,0.325474931939705
