"","sample","creb1_targets","crebbp_targets","crem_targets","ep300_targets","fos_targets","fosl1_targets","jun_targets","jund_targets","mitf_targets","nf1_targets","nr4a2_targets","ppargc1a_targets"
"ACH000008","ACH000008",0.0187148155759979,0.0849870740709226,-0.0100979245363304,-0.000998508941697428,0.0436286955726179,0.021028404282546,0.0299444242879434,-0.015471391766369,-0.0340015262664634,-0.0528654344246512,0.0835250266617261,0.346829002176331
"ACH000014","ACH000014",-0.00817625549955487,0.118594446767243,-0.075162905683355,0.0659468199366977,0.066235213974752,0.0438077001067627,0.0613996448930018,0.0153182718077119,-0.0487340942448743,0.100848379366439,0.109202830161655,-0.314023440240299
"ACH000219","ACH000219",0.0448461511517208,0.0115551139321792,0.024024279880101,-0.018353837007956,-0.0256501205815152,-0.0446271963116693,-0.0364121206758971,0.00738711322176942,-0.210831927224221,-0.0632945692788786,-0.0396052355108565,0.0127962516323633
"ACH000304","ACH000304",-0.0359409863432275,-0.0210790825165775,-0.00532694631801098,0.0215269749685055,-0.00490360860189652,-0.016507347263836,0.0451141120611429,0.216037448856981,-0.0658813250921671,0.1962314971744,0.116928221209402,-0.529920641674477
"ACH000322","ACH000322",0.0360652799900086,-0.0343782208241694,-0.00506482305446574,-0.0519321158129921,-0.0748345016900978,-0.0227894410767158,-0.0412234920378244,-0.113975076931858,-0.0849220799818094,-0.0287010876147598,-0.00209092656488982,0.18595093742875
"ACH000348","ACH000348",-0.0444585422673909,0.130734751568181,-0.0772072478230425,0.0651242706809423,0.138393729498647,0.0510876062715414,0.0627502162442005,0.0520143692257751,-0.12741395460472,0.153299309146536,0.192278834456803,-0.568798819057584
"ACH000401","ACH000401",0.00646788055038965,-0.0108763686265224,0.0101583023877413,-0.0311062298333493,-0.0145992687487696,0.0202082737137844,-0.0147341661764671,-0.0973590992542382,0.0407570679149725,-0.0168532107078406,-0.100741428710559,0.308502613669073
"ACH000404","ACH000404",-0.0565168931502141,0.0379598443580641,-0.0563179988629403,-0.0499635730076853,-0.0487418139220188,-0.101752701450085,-0.0589522110014556,-0.119797217565921,0.0303077282704138,-0.133693364274785,-0.0312806664280315,0.264972170488406
"ACH000423","ACH000423",0.0558983212397155,-0.0568461659932602,0.0345071784421293,-0.00221611824386153,-0.0636121326686857,0.00511611823439611,-0.0547888721467879,-0.069664266431826,0.078731155365889,-0.0489450622407639,-0.0806775512734977,0.433050334777745
"ACH000425","ACH000425",-0.0679809253775258,-0.0669979071417658,-0.0647862053499924,-0.0132310290861952,-0.0490754196295819,-0.107713390133293,-0.0792253196198976,0.00603708379991407,-0.0704322077909893,-0.0503202258619188,0.0399014755037444,0.0894754899915875
"ACH000441","ACH000441",0.046732194001151,0.0260078551032107,0.031513709450031,-0.0381987211229115,-0.02364462643618,0.0535850969906414,-0.00285323056847366,-0.105215025242456,0.0272545393289515,-0.0730836826891724,0.0198463363808994,0.0685400777703858
"ACH000465","ACH000465",0.0371242076528595,-0.0583052329207909,0.0594665539427605,0.0242554532051612,-0.0266370020572005,0.029646143485398,-0.0144977696748178,-0.0568701641186433,0.15340551615516,-0.0559702115195742,-0.0195008724170056,0.0581956815343959
"ACH000477","ACH000477",-0.135039718569717,-0.078339242923083,-0.126225416157162,-0.0299227024767268,-0.0267419502512069,-0.0328689032664585,-0.0265336645769463,-0.0585547586085302,0.0910341257983578,0.0444588186511937,-0.114710962132003,-0.330715800224908
"ACH000550","ACH000550",-0.0200317794289495,0.116359997575353,-0.0346437780189034,0.033246148274155,0.00181073521534761,0.0705295802900078,-0.00671044266582253,-0.119914310386753,-0.0917771814905219,0.0142010599994228,0.050371973515371,-0.316348554436128
"ACH000572","ACH000572",0.0534527034227613,0.0355229138454258,0.131488486057416,-0.0474762362278214,-0.100401088381257,-0.101876963096265,-0.0272912412304399,0.0386667860266105,0.035274754977528,-0.155413396999039,-0.0447502070981628,0.458914295423775
